Year,Mon,Day,daily_acc_10thmm
1897,8,30,0
1897,8,31,0
1898,8,20,345
1898,8,21,1
1898,8,22,2
1898,8,23,0
1898,8,24,0
1898,8,25,0
1898,8,26,0
1898,8,27,21
1898,8,28,22
1898,8,29,0
1898,8,30,0
1898,8,31,0
1899,8,20,200
1899,8,21,386
1899,8,22,5
1899,8,23,0
1899,8,24,0
1899,8,25,0
1899,8,26,9
1899,8,27,337
1899,8,28,100
1899,8,29,0
1899,8,30,12
1899,8,31,123
1900,8,20,0
1900,8,21,5
1900,8,22,22
1900,8,23,86
1900,8,24,0
1900,8,25,0
1900,8,26,74
1900,8,27,226
1900,8,28,18
1900,8,29,0
1900,8,30,0
1900,8,31,0
1901,8,20,0
1901,8,21,0
1901,8,22,0
1901,8,23,0
1901,8,24,0
1901,8,25,0
1901,8,26,0
1901,8,27,0
1901,8,28,0
1901,8,29,0
1901,8,30,0
1901,8,31,0
1902,8,20,0
1902,8,21,118
1902,8,22,10
1902,8,23,1
1902,8,24,0
1902,8,25,0
1902,8,26,0
1902,8,27,0
1902,8,28,0
1902,8,29,3
1902,8,30,36
1902,8,31,289
1903,8,20,0
1903,8,21,4
1903,8,22,28
1903,8,23,0
1903,8,24,0
1903,8,25,0
1903,8,26,0
1903,8,27,0
1903,8,28,0
1903,8,29,0
1903,8,30,0
1903,8,31,0
1904,8,20,0
1904,8,21,0
1904,8,22,0
1904,8,23,0
1904,8,24,0
1904,8,25,0
1904,8,26,0
1904,8,27,0
1904,8,28,0
1904,8,29,0
1904,8,30,0
1904,8,31,0
1905,8,20,124
1905,8,21,366
1905,8,22,104
1905,8,23,5
1905,8,24,65
1905,8,25,0
1905,8,26,8
1905,8,27,0
1905,8,28,745
1905,8,29,135
1905,8,30,25
1905,8,31,0
1906,8,20,14
1906,8,21,195
1906,8,22,107
1906,8,23,3
1906,8,24,0
1906,8,25,4
1906,8,26,0
1906,8,27,69
1906,8,28,1
1906,8,29,99
1906,8,30,26
1906,8,31,0
1907,8,20,0
1907,8,21,0
1907,8,22,0
1907,8,23,0
1907,8,24,6
1907,8,25,0
1907,8,26,0
1907,8,27,0
1907,8,28,0
1907,8,29,0
1907,8,30,86
1907,8,31,110
1908,8,20,0
1908,8,21,0
1908,8,22,0
1908,8,23,6
1908,8,24,61
1908,8,25,639
1908,8,26,27
1908,8,27,0
1908,8,28,0
1908,8,29,0
1908,8,30,0
1908,8,31,0
1909,8,20,0
1909,8,21,0
1909,8,22,21
1909,8,23,10
1909,8,24,1
1909,8,25,0
1909,8,26,124
1909,8,27,6
1909,8,28,290
1909,8,29,0
1909,8,30,540
1909,8,31,2
1910,8,20,0
1910,8,21,30
1910,8,22,160
1910,8,23,0
1910,8,24,8
1910,8,25,0
1910,8,26,0
1910,8,27,0
1910,8,28,40
1910,8,29,0
1910,8,30,8
1910,8,31,0
1911,8,20,257
1911,8,21,0
1911,8,22,19
1911,8,23,4
1911,8,24,11
1911,8,25,26
1911,8,26,48
1911,8,27,389
1911,8,28,155
1911,8,29,17
1911,8,30,0
1911,8,31,0
1912,8,20,0
1912,8,21,0
1912,8,22,0
1912,8,23,0
1912,8,24,0
1912,8,25,1553
1912,8,26,63
1912,8,27,318
1912,8,28,0
1912,8,29,8
1912,8,30,5
1912,8,31,165
1913,8,20,0
1913,8,21,0
1913,8,22,253
1913,8,23,0
1913,8,24,0
1913,8,25,0
1913,8,26,0
1913,8,27,0
1913,8,28,0
1913,8,29,0
1913,8,30,2
1913,8,31,0
1914,8,20,0
1914,8,21,0
1914,8,22,0
1914,8,23,14
1914,8,24,25
1914,8,25,0
1914,8,26,42
1914,8,27,0
1914,8,28,224
1914,8,29,0
1914,8,30,0
1914,8,31,0
1915,8,20,0
1915,8,21,0
1915,8,22,0
1915,8,23,244
1915,8,24,92
1915,8,25,0
1915,8,26,0
1915,8,27,0
1915,8,28,0
1915,8,29,0
1915,8,30,0
1915,8,31,2
1916,8,20,0
1916,8,21,0
1916,8,22,0
1916,8,23,0
1916,8,24,65
1916,8,25,172
1916,8,26,0
1916,8,27,8
1916,8,28,0
1916,8,29,0
1916,8,30,15
1916,8,31,0
1917,8,20,551
1917,8,21,0
1917,8,22,0
1917,8,23,0
1917,8,24,0
1917,8,25,0
1917,8,26,20
1917,8,27,158
1917,8,28,0
1917,8,29,0
1917,8,30,0
1917,8,31,37
1918,8,20,497
1918,8,21,1
1918,8,22,0
1918,8,23,0
1918,8,24,0
1918,8,25,1
1918,8,26,0
1918,8,27,0
1918,8,28,0
1918,8,29,1
1918,8,30,0
1918,8,31,481
1919,8,20,0
1919,8,21,0
1919,8,22,0
1919,8,23,0
1919,8,24,0
1919,8,25,9
1919,8,26,226
1919,8,27,0
1919,8,28,0
1919,8,29,0
1919,8,30,52
1919,8,31,0
1920,8,20,0
1920,8,21,13
1920,8,22,18
1920,8,23,0
1920,8,24,3
1920,8,25,423
1920,8,26,0
1920,8,27,0
1920,8,28,0
1920,8,29,117
1920,8,30,24
1920,8,31,0
1921,8,20,932
1921,8,21,918
1921,8,22,16
1921,8,23,0
1921,8,24,0
1921,8,25,0
1921,8,26,0
1921,8,27,0
1921,8,28,1
1921,8,29,15
1921,8,30,148
1921,8,31,205
1922,8,20,31
1922,8,21,9
1922,8,22,6
1922,8,23,0
1922,8,24,83
1922,8,25,0
1922,8,26,0
1922,8,27,0
1922,8,28,571
1922,8,29,0
1922,8,30,0
1922,8,31,407
1923,8,20,0
1923,8,21,0
1923,8,22,0
1923,8,23,76
1923,8,24,129
1923,8,25,0
1923,8,26,0
1923,8,27,0
1923,8,28,0
1923,8,29,0
1923,8,30,3
1923,8,31,19
1924,8,20,0
1924,8,21,0
1924,8,22,28
1924,8,23,9
1924,8,24,5
1924,8,25,82
1924,8,26,0
1924,8,27,20
1924,8,28,319
1924,8,29,0
1924,8,30,22
1924,8,31,42
1925,8,20,2
1925,8,21,0
1925,8,22,119
1925,8,23,8
1925,8,24,0
1925,8,25,0
1925,8,26,0
1925,8,27,24
1925,8,28,64
1925,8,29,0
1925,8,30,0
1925,8,31,320
1926,8,20,0
1926,8,21,6
1926,8,22,0
1926,8,23,0
1926,8,24,0
1926,8,25,441
1926,8,26,315
1926,8,27,0
1926,8,28,461
1926,8,29,235
1926,8,30,492
1926,8,31,305
1927,8,20,0
1927,8,21,0
1927,8,22,0
1927,8,23,1
1927,8,24,31
1927,8,25,0
1927,8,26,0
1927,8,27,25
1927,8,28,2
1927,8,29,0
1927,8,30,93
1927,8,31,43
1928,8,20,0
1928,8,21,0
1928,8,22,0
1928,8,23,0
1928,8,24,0
1928,8,25,1
1928,8,26,236
1928,8,27,147
1928,8,28,0
1928,8,29,0
1928,8,30,0
1928,8,31,0
1929,8,20,0
1929,8,21,0
1929,8,22,0
1929,8,23,0
1929,8,24,0
1929,8,25,32
1929,8,26,82
1929,8,27,8
1929,8,28,308
1929,8,29,2
1929,8,30,0
1929,8,31,0
1930,8,20,0
1930,8,21,70
1930,8,22,0
1930,8,23,0
1930,8,24,0
1930,8,25,0
1930,8,26,0
1930,8,27,8
1930,8,28,882
1930,8,29,3
1930,8,30,0
1930,8,31,0
1931,8,20,0
1931,8,21,0
1931,8,22,0
1931,8,23,0
1931,8,24,17
1931,8,25,843
1931,8,26,208
1931,8,27,0
1931,8,28,0
1931,8,29,0
1931,8,30,1
1931,8,31,0
1932,8,20,10
1932,8,21,8
1932,8,22,0
1932,8,23,212
1932,8,24,48
1932,8,25,14
1932,8,26,10
1932,8,27,0
1932,8,28,0
1932,8,29,0
1932,8,30,215
1932,8,31,340
1933,8,20,0
1933,8,21,68
1933,8,22,0
1933,8,23,0
1933,8,24,2
1933,8,25,95
1933,8,26,0
1933,8,27,40
1933,8,28,153
1933,8,29,0
1933,8,30,0
1933,8,31,3
1934,8,20,0
1934,8,21,0
1934,8,22,0
1934,8,23,0
1934,8,24,0
1934,8,25,0
1934,8,26,0
1934,8,27,0
1934,8,28,0
1934,8,29,0
1934,8,30,108
1934,8,31,0
1935,8,20,149
1935,8,21,207
1935,8,22,0
1935,8,23,0
1935,8,24,0
1935,8,25,0
1935,8,26,1
1935,8,27,0
1935,8,28,0
1935,8,29,0
1935,8,30,2
1935,8,31,0
1936,8,20,0
1936,8,21,9
1936,8,22,0
1936,8,23,0
1936,8,24,0
1936,8,25,0
1936,8,26,0
1936,8,27,65
1936,8,28,0
1936,8,29,0
1936,8,30,0
1936,8,31,74
1937,8,20,0
1937,8,21,0
1937,8,22,0
1937,8,23,0
1937,8,24,0
1937,8,25,0
1937,8,26,0
1937,8,27,0
1937,8,28,0
1937,8,29,0
1937,8,30,0
1937,8,31,0
1938,8,20,0
1938,8,21,0
1938,8,22,0
1938,8,23,0
1938,8,24,0
1938,8,25,0
1938,8,26,27
1938,8,27,128
1938,8,28,91
1938,8,29,2
1938,8,30,0
1938,8,31,0
1939,8,20,0
1939,8,21,0
1939,8,22,0
1939,8,23,0
1939,8,24,0
1939,8,25,0
1939,8,26,0
1939,8,27,0
1939,8,28,168
1939,8,29,403
1939,8,30,261
1939,8,31,0
1940,8,20,0
1940,8,21,0
1940,8,22,0
1940,8,23,0
1940,8,24,10
1940,8,25,0
1940,8,26,0
1940,8,27,0
1940,8,28,2
1940,8,29,0
1940,8,30,93
1940,8,31,20
1941,8,20,46
1941,8,21,162
1941,8,22,0
1941,8,23,0
1941,8,24,0
1941,8,25,0
1941,8,26,0
1941,8,27,0
1941,8,28,144
1941,8,29,301
1941,8,30,202
1941,8,31,0
1942,8,20,0
1942,8,21,0
1942,8,22,0
1942,8,23,0
1942,8,24,0
1942,8,25,116
1942,8,26,0
1942,8,27,0
1942,8,28,0
1942,8,29,0
1942,8,30,0
1942,8,31,0
1943,8,20,0
1943,8,21,0
1943,8,22,67
1943,8,23,0
1943,8,24,50
1943,8,25,0
1943,8,26,0
1943,8,27,0
1943,8,28,220
1943,8,29,3
1943,8,30,0
1943,8,31,0
1944,8,20,0
1944,8,21,238
1944,8,22,34
1944,8,23,5
1944,8,24,0
1944,8,25,0
1944,8,26,0
1944,8,27,0
1944,8,28,0
1944,8,29,0
1944,8,30,0
1944,8,31,0
1945,8,20,174
1945,8,21,0
1945,8,22,0
1945,8,23,0
1945,8,24,0
1945,8,25,0
1945,8,26,0
1945,8,27,0
1945,8,28,0
1945,8,29,0
1945,8,30,0
1945,8,31,375
1946,8,20,0
1946,8,21,0
1946,8,22,0
1946,8,23,0
1946,8,24,3
1946,8,25,0
1946,8,26,7
1946,8,27,7
1946,8,28,0
1946,8,29,0
1946,8,30,0
1946,8,31,786
1947,8,20,0
1947,8,21,0
1947,8,22,0
1947,8,23,0
1947,8,24,0
1947,8,25,247
1947,8,26,46
1947,8,27,0
1947,8,28,26
1947,8,29,51
1947,8,30,2
1947,8,31,0
1948,8,20,89
1948,8,21,131
1948,8,22,623
1948,8,23,72
1948,8,24,82
1948,8,25,0
1948,8,26,2
1948,8,27,0
1948,8,28,0
1948,8,29,0
1948,8,30,0
1948,8,31,0
1949,8,20,0
1949,8,21,142
1949,8,22,5
1949,8,23,35
1949,8,24,0
1949,8,25,0
1949,8,26,0
1949,8,27,0
1949,8,28,0
1949,8,29,166
1949,8,30,0
1949,8,31,12
1950,8,20,0
1950,8,21,131
1950,8,22,40
1950,8,23,4
1950,8,24,0
1950,8,25,42
1950,8,26,142
1950,8,27,55
1950,8,28,0
1950,8,29,0
1950,8,30,0
1950,8,31,0
1951,8,20,245
1951,8,21,735
1951,8,22,114
1951,8,23,0
1951,8,24,0
1951,8,25,0
1951,8,26,0
1951,8,27,0
1951,8,28,0
1951,8,29,239
1951,8,30,0
1951,8,31,0
1952,8,20,0
1952,8,21,274
1952,8,22,0
1952,8,23,0
1952,8,24,0
1952,8,25,0
1952,8,26,275
1952,8,27,0
1952,8,28,0
1952,8,29,0
1952,8,30,0
1952,8,31,4
1953,8,20,0
1953,8,21,0
1953,8,22,0
1953,8,23,0
1953,8,24,0
1953,8,25,0
1953,8,26,0
1953,8,27,8
1953,8,28,0
1953,8,29,17
1953,8,30,33
1953,8,31,117
1954,8,20,35
1954,8,21,723
1954,8,22,32
1954,8,23,0
1954,8,24,0
1954,8,25,891
1954,8,26,42
1954,8,27,0
1954,8,28,0
1954,8,29,0
1954,8,30,0
1954,8,31,0
1955,8,20,0
1955,8,21,9
1955,8,22,0
1955,8,23,7
1955,8,24,0
1955,8,25,1
1955,8,26,49
1955,8,27,16
1955,8,28,363
1955,8,29,33
1955,8,30,0
1955,8,31,0
1956,8,20,81
1956,8,21,0
1956,8,22,0
1956,8,23,0
1956,8,24,19
1956,8,25,11
1956,8,26,255
1956,8,27,0
1956,8,28,1
1956,8,29,6
1956,8,30,2
1956,8,31,11
1957,8,20,55
1957,8,21,0
1957,8,22,0
1957,8,23,0
1957,8,24,22
1957,8,25,5
1957,8,26,0
1957,8,27,0
1957,8,28,0
1957,8,29,277
1957,8,30,0
1957,8,31,0
1958,8,20,141
1958,8,21,152
1958,8,22,193
1958,8,23,0
1958,8,24,409
1958,8,25,6
1958,8,26,20
1958,8,27,100
1958,8,28,441
1958,8,29,4
1958,8,30,201
1958,8,31,63
1959,8,20,0
1959,8,21,0
1959,8,22,184
1959,8,23,0
1959,8,24,0
1959,8,25,0
1959,8,26,0
1959,8,27,0
1959,8,28,0
1959,8,29,0
1959,8,30,64
1959,8,31,2
1960,8,20,0
1960,8,21,1
1960,8,22,106
1960,8,23,0
1960,8,24,0
1960,8,25,0
1960,8,26,0
1960,8,27,0
1960,8,28,1
1960,8,29,8
1960,8,30,0
1960,8,31,0
1961,8,20,0
1961,8,21,0
1961,8,22,0
1961,8,23,0
1961,8,24,0
1961,8,25,54
1961,8,26,0
1961,8,27,0
1961,8,28,0
1961,8,29,0
1961,8,30,0
1961,8,31,0
1962,8,20,0
1962,8,21,0
1962,8,22,128
1962,8,23,100
1962,8,24,85
1962,8,25,0
1962,8,26,0
1962,8,27,311
1962,8,28,0
1962,8,29,0
1962,8,30,18
1962,8,31,0
1963,8,20,22
1963,8,21,0
1963,8,22,0
1963,8,23,278
1963,8,24,136
1963,8,25,13
1963,8,26,376
1963,8,27,0
1963,8,28,49
1963,8,29,0
1963,8,30,0
1963,8,31,1
1964,8,20,7
1964,8,21,3
1964,8,22,0
1964,8,23,0
1964,8,24,0
1964,8,25,0
1964,8,26,0
1964,8,27,0
1964,8,28,0
1964,8,29,0
1964,8,30,0
1964,8,31,0
1965,8,20,53
1965,8,21,249
1965,8,22,34
1965,8,23,0
1965,8,24,0
1965,8,25,68
1965,8,26,0
1965,8,27,2
1965,8,28,0
1965,8,29,44
1965,8,30,5
1965,8,31,0
1966,8,20,303
1966,8,21,65
1966,8,22,10
1966,8,23,29
1966,8,24,0
1966,8,25,0
1966,8,26,0
1966,8,27,0
1966,8,28,0
1966,8,29,0
1966,8,30,0
1966,8,31,0
1967,8,20,0
1967,8,21,0
1967,8,22,0
1967,8,23,0
1967,8,24,0
1967,8,25,0
1967,8,26,0
1967,8,27,0
1967,8,28,0
1967,8,29,0
1967,8,30,0
1967,8,31,0
1968,8,20,0
1968,8,21,0
1968,8,22,0
1968,8,23,85
1968,8,24,0
1968,8,25,0
1968,8,26,0
1968,8,27,0
1968,8,28,0
1968,8,29,0
1968,8,30,0
1968,8,31,0
1969,8,20,2
1969,8,21,0
1969,8,22,0
1969,8,23,107
1969,8,24,6
1969,8,25,8
1969,8,26,0
1969,8,27,0
1969,8,28,22
1969,8,29,6
1969,8,30,295
1969,8,31,91
1970,8,20,0
1970,8,21,7
1970,8,22,0
1970,8,23,109
1970,8,24,0
1970,8,25,0
1970,8,26,0
1970,8,27,0
1970,8,28,0
1970,8,29,211
1970,8,30,168
1970,8,31,0
1971,8,20,46
1971,8,21,0
1971,8,22,0
1971,8,23,308
1971,8,24,7
1971,8,25,0
1971,8,26,0
1971,8,27,4
1971,8,28,0
1971,8,29,0
1971,8,30,9
1971,8,31,315
1972,8,20,0
1972,8,21,313
1972,8,22,344
1972,8,23,0
1972,8,24,0
1972,8,25,0
1972,8,26,3
1972,8,27,0
1972,8,28,1
1972,8,29,0
1972,8,30,0
1972,8,31,1
1973,8,20,0
1973,8,21,0
1973,8,22,0
1973,8,23,0
1973,8,24,0
1973,8,25,0
1973,8,26,0
1973,8,27,5
1973,8,28,47
1973,8,29,522
1973,8,30,0
1973,8,31,0
1974,8,20,63
1974,8,21,385
1974,8,22,4
1974,8,23,0
1974,8,24,0
1974,8,25,0
1974,8,26,0
1974,8,27,0
1974,8,28,0
1974,8,29,135
1974,8,30,0
1974,8,31,0
1975,8,20,0
1975,8,21,0
1975,8,22,0
1975,8,23,0
1975,8,24,0
1975,8,25,0
1975,8,26,6
1975,8,27,0
1975,8,28,11
1975,8,29,0
1975,8,30,0
1975,8,31,0
1976,8,20,0
1976,8,21,0
1976,8,22,1093
1976,8,23,0
1976,8,24,0
1976,8,25,0
1976,8,26,0
1976,8,27,0
1976,8,28,15
1976,8,29,33
1976,8,30,96
1976,8,31,880
1977,8,20,0
1977,8,21,44
1977,8,22,651
1977,8,23,60
1977,8,24,0
1977,8,25,0
1977,8,26,0
1977,8,27,0
1977,8,28,0
1977,8,29,0
1977,8,30,0
1977,8,31,112
1978,8,20,0
1978,8,21,0
1978,8,22,26
1978,8,23,0
1978,8,24,0
1978,8,25,0
1978,8,26,0
1978,8,27,0
1978,8,28,0
1978,8,29,0
1978,8,30,2
1978,8,31,0
1979,8,20,0
1979,8,21,0
1979,8,22,29
1979,8,23,2
1979,8,24,195
1979,8,25,353
1979,8,26,0
1979,8,27,74
1979,8,28,0
1979,8,29,0
1979,8,30,0
1979,8,31,0
1980,8,20,1
1980,8,21,236
1980,8,22,589
1980,8,23,0
1980,8,24,0
1980,8,25,260
1980,8,26,0
1980,8,27,0
1980,8,28,48
1980,8,29,0
1980,8,30,94
1980,8,31,8
1981,8,20,0
1981,8,21,0
1981,8,22,0
1981,8,23,0
1981,8,24,0
1981,8,25,0
1981,8,26,90
1981,8,27,67
1981,8,28,3
1981,8,29,0
1981,8,30,9
1981,8,31,31
1982,8,20,3
1982,8,21,12
1982,8,22,1
1982,8,23,268
1982,8,24,39
1982,8,25,77
1982,8,26,9
1982,8,27,0
1982,8,28,0
1982,8,29,4
1982,8,30,327
1982,8,31,1
1983,8,20,0
1983,8,21,36
1983,8,22,10
1983,8,23,5
1983,8,24,0
1983,8,25,259
1983,8,26,60
1983,8,27,4
1983,8,28,0
1983,8,29,0
1983,8,30,0
1983,8,31,0
1984,8,20,121
1984,8,21,0
1984,8,22,0
1984,8,23,97
1984,8,24,0
1984,8,25,0
1984,8,26,0
1984,8,27,2
1984,8,28,0
1984,8,29,0
1984,8,30,3
1984,8,31,150
1985,8,20,0
1985,8,21,2
1985,8,22,0
1985,8,23,101
1985,8,24,6
1985,8,25,9
1985,8,26,0
1985,8,27,0
1985,8,28,0
1985,8,29,0
1985,8,30,0
1985,8,31,676
1986,8,20,354
1986,8,21,0
1986,8,22,0
1986,8,23,0
1986,8,24,0
1986,8,25,0
1986,8,26,11
1986,8,27,93
1986,8,28,51
1986,8,29,0
1986,8,30,0
1986,8,31,202
1987,8,20,135
1987,8,21,522
1987,8,22,301
1987,8,23,314
1987,8,24,92
1987,8,25,63
1987,8,26,0
1987,8,27,0
1987,8,28,0
1987,8,29,0
1987,8,30,60
1987,8,31,0
1988,8,20,165
1988,8,21,558
1988,8,22,36
1988,8,23,6
1988,8,24,0
1988,8,25,0
1988,8,26,169
1988,8,27,8
1988,8,28,0
1988,8,29,0
1988,8,30,0
1988,8,31,0
1989,8,20,1
1989,8,21,4
1989,8,22,537
1989,8,23,519
1989,8,24,17
1989,8,25,0
1989,8,26,0
1989,8,27,52
1989,8,28,0
1989,8,29,63
1989,8,30,0
1989,8,31,100
1990,8,20,95
1990,8,21,143
1990,8,22,16
1990,8,23,0
1990,8,24,105
1990,8,25,1
1990,8,26,0
1990,8,27,0
1990,8,28,0
1990,8,29,0
1990,8,30,18
1990,8,31,992
1991,8,20,0
1991,8,21,0
1991,8,22,0
1991,8,23,1
1991,8,24,0
1991,8,25,0
1991,8,26,0
1991,8,27,0
1991,8,28,0
1991,8,29,0
1991,8,30,0
1991,8,31,0
1992,8,20,0
1992,8,21,0
1992,8,22,0
1992,8,23,86
1992,8,24,0
1992,8,25,7
1992,8,26,0
1992,8,27,87
1992,8,28,3
1992,8,29,0
1992,8,30,11
1992,8,31,593
1993,8,20,114
1993,8,21,437
1993,8,22,54
1993,8,23,0
1993,8,24,0
1993,8,25,0
1993,8,26,0
1993,8,27,0
1993,8,28,0
1993,8,29,0
1993,8,30,0
1993,8,31,0
1994,8,20,0
1994,8,21,0
1994,8,22,84
1994,8,23,0
1994,8,24,0
1994,8,25,55
1994,8,26,0
1994,8,27,0
1994,8,28,136
1994,8,29,0
1994,8,30,0
1994,8,31,0
1995,8,20,2
1995,8,21,17
1995,8,22,0
1995,8,23,145
1995,8,24,338
1995,8,25,213
1995,8,26,201
1995,8,27,0
1995,8,28,23
1995,8,29,27
1995,8,30,0
1995,8,31,0
1996,8,20,0
1996,8,21,20
1996,8,22,0
1996,8,23,0
1996,8,24,0
1996,8,25,0
1996,8,26,21
1996,8,27,0
1996,8,28,0
1996,8,29,0
1996,8,30,45
1996,8,31,5
1997,8,20,22
1997,8,21,5
1997,8,22,0
1997,8,23,38
1997,8,24,23
1997,8,25,381
1997,8,26,246
1997,8,27,0
1997,8,28,0
1997,8,29,0
1997,8,30,0
1997,8,31,0
1998,8,20,472
1998,8,21,0
1998,8,22,0
1998,8,23,0
1998,8,24,0
1998,8,25,73
1998,8,26,64
1998,8,27,226
1998,8,28,0
1998,8,29,0
1998,8,30,3
1998,8,31,72
1999,8,20,145
1999,8,21,62
1999,8,22,781
1999,8,23,0
1999,8,24,6
1999,8,25,21
1999,8,26,129
1999,8,27,494
1999,8,28,0
1999,8,29,0
1999,8,30,375
1999,8,31,0
2000,8,20,198
2000,8,21,0
2000,8,22,0
2000,8,23,0
2000,8,24,129
2000,8,25,60
2000,8,26,68
2000,8,27,165
2000,8,28,0
2000,8,29,20
2000,8,30,66
2000,8,31,557
2001,8,20,0
2001,8,21,0
2001,8,22,0
2001,8,23,0
2001,8,24,0
2001,8,25,466
2001,8,26,20
2001,8,27,0
2001,8,28,0
2001,8,29,356
2001,8,30,20
2001,8,31,10
2002,8,20,0
2002,8,21,0
2002,8,22,0
2002,8,23,0
2002,8,24,0
2002,8,25,264
2002,8,26,114
2002,8,27,204
2002,8,28,122
2002,8,29,100
2002,8,30,4
2002,8,31,0
2003,8,20,55
2003,8,21,0
