NO,date and time,water depth (points) (m)
60,8/21/05 11:00,2.593956
61,8/21/05 12:00,2.122336
62,8/21/05 13:00,1.873282
63,8/21/05 14:00,1.566892
64,8/21/05 15:00,1.36451
65,8/21/05 16:00,1.684451
66,8/21/05 17:00,2.4491235
67,8/21/05 18:00,3.142378
68,8/21/05 19:00,3.59813
69,8/21/05 20:00,3.76413
70,8/21/05 21:00,3.60069
71,8/21/05 22:00,3.255269
72,8/21/05 23:00,2.62231
73,8/22/05 0:00,2.118322
74,8/22/05 1:00,1.847289
75,8/22/05 2:00,1.510539
76,8/22/05 3:00,1.21904
77,8/22/05 4:00,1.31715
78,8/22/05 5:00,2.011003
79,8/22/05 6:00,2.740538
80,8/22/05 7:00,3.305313
81,8/22/05 8:00,3.63855
82,8/22/05 9:00,3.62044
83,8/22/05 10:00,3.46295
84,8/22/05 11:00,2.983795
85,8/22/05 12:00,2.4254068
86,8/22/05 13:00,2.103439
87,8/22/05 14:00,1.868679
88,8/22/05 15:00,1.600081
89,8/22/05 16:00,1.570073
90,8/22/05 17:00,2.038161
91,8/22/05 18:00,2.660968
92,8/22/05 19:00,3.176866
93,8/22/05 20:00,3.49498
94,8/22/05 21:00,3.48449
95,8/22/05 22:00,3.298383
96,8/22/05 23:00,2.873541
97,8/23/05 0:00,2.3428246
98,8/23/05 1:00,1.996696
99,8/23/05 2:00,1.751257
100,8/23/05 3:00,1.455646
101,8/23/05 4:00,1.32715
102,8/23/05 5:00,1.629452
103,8/23/05 6:00,2.260955
104,8/23/05 7:00,2.8666
105,8/23/05 8:00,3.325841
106,8/23/05 9:00,3.5349
107,8/23/05 10:00,3.52871
108,8/23/05 11:00,3.317231
109,8/23/05 12:00,2.853025
110,8/23/05 13:00,2.4197356
111,8/23/05 14:00,2.169065
112,8/23/05 15:00,1.929887
113,8/23/05 16:00,1.71474
114,8/23/05 17:00,1.757557
115,8/23/05 18:00,2.140811
116,8/23/05 19:00,2.624484
117,8/23/05 20:00,3.019156
118,8/23/05 21:00,3.248522
119,8/23/05 22:00,3.216692
120,8/23/05 23:00,3.029068
121,8/24/05 0:00,2.662592
122,8/24/05 1:00,2.250151
123,8/24/05 2:00,1.972901
124,8/24/05 3:00,1.759456
125,8/24/05 4:00,1.546586
126,8/24/05 5:00,1.51021
127,8/24/05 6:00,1.798676
128,8/24/05 7:00,2.3036525
129,8/24/05 8:00,2.814205
130,8/24/05 9:00,3.221824
131,8/24/05 10:00,3.4326
132,8/24/05 11:00,3.47492
133,8/24/05 12:00,3.300633
134,8/24/05 13:00,2.931259
135,8/24/05 14:00,2.571482
136,8/24/05 15:00,2.3084054
137,8/24/05 16:00,2.062107
138,8/24/05 17:00,1.833744
139,8/24/05 18:00,1.78667
140,8/24/05 19:00,1.973126
141,8/24/05 20:00,2.3399111
142,8/24/05 21:00,2.69814
143,8/24/05 22:00,2.957235
144,8/24/05 23:00,3.017974
145,8/25/05 0:00,2.910297
146,8/25/05 1:00,2.678778
147,8/25/05 2:00,2.3526174
148,8/25/05 3:00,2.060341
149,8/25/05 4:00,1.872757
150,8/25/05 5:00,1.714858
151,8/25/05 6:00,1.638262
152,8/25/05 7:00,1.764647
153,8/25/05 8:00,2.134678
154,8/25/05 9:00,2.608319
155,8/25/05 10:00,3.064779
156,8/25/05 11:00,3.37764
157,8/25/05 12:00,3.51413
158,8/25/05 13:00,3.46235
159,8/25/05 14:00,3.187851
160,8/25/05 15:00,2.810465
161,8/25/05 16:00,2.4687002
162,8/25/05 17:00,2.176777
163,8/25/05 18:00,1.889605
164,8/25/05 19:00,1.689186
165,8/25/05 20:00,1.684517
166,8/25/05 21:00,1.934179
167,8/25/05 22:00,2.3602982
168,8/25/05 23:00,2.735748
169,8/26/05 0:00,2.970516
170,8/26/05 1:00,3.004959
171,8/26/05 2:00,2.879053
172,8/26/05 3:00,2.627729
173,8/26/05 4:00,2.259801
174,8/26/05 5:00,1.960152
175,8/26/05 6:00,1.792838
176,8/26/05 7:00,1.647808
177,8/26/05 8:00,1.597294
178,8/26/05 9:00,1.838187
179,8/26/05 10:00,2.3589368
180,8/26/05 11:00,2.9299
181,8/26/05 12:00,3.40692
182,8/26/05 13:00,3.66076
183,8/26/05 14:00,3.70422
184,8/26/05 15:00,3.50375
185,8/26/05 16:00,3.045631
186,8/26/05 17:00,2.566277
187,8/26/05 18:00,2.200503
188,8/26/05 19:00,1.875345
189,8/26/05 20:00,1.549151
190,8/26/05 21:00,1.411405
191,8/26/05 22:00,1.608931
192,8/26/05 23:00,2.181035
193,8/27/05 0:00,2.714297
194,8/27/05 1:00,3.076562
195,8/27/05 2:00,3.233285
196,8/27/05 3:00,3.118606
197,8/27/05 4:00,2.886325
198,8/27/05 5:00,2.4186925
199,8/27/05 6:00,1.972207
200,8/27/05 7:00,1.739574
201,8/27/05 8:00,1.548138
202,8/27/05 9:00,1.378748
203,8/27/05 10:00,1.546626
204,8/27/05 11:00,2.219451
205,8/27/05 12:00,2.94659
206,8/27/05 13:00,3.54091
207,8/27/05 14:00,3.90023
208,8/27/05 15:00,3.93633
209,8/27/05 16:00,3.75321
210,8/27/05 17:00,3.187502
211,8/27/05 18:00,2.566563
212,8/27/05 19:00,2.151205
213,8/27/05 20:00,1.808368
214,8/27/05 21:00,1.407925
215,8/27/05 22:00,1.19014
216,8/27/05 23:00,1.444491
217,8/28/05 0:00,2.226614
218,8/28/05 1:00,2.898629
219,8/28/05 2:00,3.316264
220,8/28/05 3:00,3.5037
221,8/28/05 4:00,3.332526
222,8/28/05 5:00,3.045656
223,8/28/05 6:00,2.4491181
224,8/28/05 7:00,1.920121
225,8/28/05 8:00,1.666031
226,8/28/05 9:00,1.408215
227,8/28/05 10:00,1.15308
228,8/28/05 11:00,1.34409
229,8/28/05 12:00,2.241201
230,8/28/05 13:00,3.116017
231,8/28/05 14:00,3.75958
232,8/28/05 15:00,4.13971
233,8/28/05 16:00,4.10761
234,8/28/05 17:00,3.86164
235,8/28/05 18:00,3.169874
236,8/28/05 19:00,2.4597365
237,8/28/05 20:00,2.053121
238,8/28/05 21:00,1.682884
239,8/28/05 22:00,1.23091
240,8/28/05 23:00,1.00224
241,8/29/05 0:00,1.474744
242,8/29/05 1:00,2.4300389
243,8/29/05 2:00,3.176806
244,8/29/05 3:00,3.56005
245,8/29/05 4:00,3.69711
246,8/29/05 5:00,3.45508
247,8/29/05 6:00,3.067661
248,8/29/05 7:00,2.3371524
249,8/29/05 8:00,1.819185
250,8/29/05 9:00,1.573727
251,8/29/05 10:00,1.23231
252,8/29/05 11:00,0.93886
253,8/29/05 12:00,1.30823
254,8/29/05 13:00,2.4039104
255,8/29/05 14:00,3.3775
256,8/29/05 15:00,3.97673
257,8/29/05 16:00,4.30764
258,8/29/05 17:00,4.17896
259,8/29/05 18:00,3.82265
260,8/29/05 19:00,2.995191
261,8/29/05 20:00,2.2890951
262,8/29/05 21:00,1.933097
263,8/29/05 22:00,1.51098
264,8/29/05 23:00,1.03779
265,8/30/05 0:00,0.89194
266,8/30/05 1:00,1.777815
267,8/30/05 2:00,2.759368
268,8/30/05 3:00,3.50181
269,8/30/05 4:00,3.8188
270,8/30/05 5:00,3.79751
271,8/30/05 6:00,3.48802
272,8/30/05 7:00,2.953401
273,8/30/05 8:00,2.165009
274,8/30/05 9:00,1.748718
275,8/30/05 10:00,1.478321
276,8/30/05 11:00,1.05463
277,8/30/05 12:00,0.79639
278,8/30/05 13:00,1.544331
279,8/30/05 14:00,2.704322
280,8/30/05 15:00,3.67498
281,8/30/05 16:00,4.17648
282,8/30/05 17:00,4.37726
283,8/30/05 18:00,4.14327
284,8/30/05 19:00,3.63371
285,8/30/05 20:00,2.722746
286,8/30/05 21:00,2.124847
287,8/30/05 22:00,1.809078
288,8/30/05 23:00,1.31472
289,8/31/05 0:00,0.86497
290,8/31/05 1:00,0.93518
291,8/31/05 2:00,2.167
292,8/31/05 3:00,3.142411
293,8/31/05 4:00,3.78731
294,8/31/05 5:00,4.05487
295,8/31/05 6:00,3.82292
296,8/31/05 7:00,3.46062
297,8/31/05 8:00,2.731252
298,8/31/05 9:00,2.00222
299,8/31/05 10:00,1.681493
300,8/31/05 11:00,1.33424
301,8/31/05 12:00,0.88676
302,8/31/05 13:00,0.77884
303,8/31/05 14:00,1.962352
304,8/31/05 15:00,3.078594
305,8/31/05 16:00,3.95214
306,8/31/05 17:00,4.37417
307,8/31/05 18:00,4.34503
308,8/31/05 19:00,4.0381
309,8/31/05 20:00,3.367015
310,8/31/05 21:00,2.493169
311,8/31/05 22:00,2.038654
312,8/31/05 23:00,1.699639
313,9/1/05 0:00,1.19659
314,9/1/05 1:00,0.89202
315,9/1/05 2:00,1.655947
316,9/1/05 3:00,2.823514
317,9/1/05 4:00,3.75754
318,9/1/05 5:00,4.22757
319,9/1/05 6:00,4.45862
320,9/1/05 7:00,4.26058
321,9/1/05 8:00,3.78169
322,9/1/05 9:00,2.917652
323,9/1/05 10:00,2.4024065
324,9/1/05 11:00,2.182715
325,9/1/05 12:00,1.836963
326,9/1/05 13:00,1.680392
327,9/1/05 14:00,2.3935397
328,9/1/05 15:00,3.44398
329,9/1/05 16:00,4.43187
330,9/1/05 17:00,5.12387
331,9/1/05 18:00,5.4199
332,9/1/05 19:00,5.38816
333,9/1/05 20:00,5.00115
334,9/1/05 21:00,4.28037
335,9/1/05 22:00,3.706
336,9/1/05 23:00,3.14693
337,9/2/05 0:00,2.3973385
338,9/2/05 1:00,1.723961
339,9/2/05 2:00,1.29835
340,9/2/05 3:00,1.20529
341,9/2/05 4:00,1.677094
342,9/2/05 5:00,2.785952
343,9/2/05 6:00,3.50389
344,9/2/05 7:00,3.65831
345,9/2/05 8:00,3.257947
346,9/2/05 9:00,2.647059
347,9/2/05 10:00,2.116011
348,9/2/05 11:00,1.414028
349,9/2/05 12:00,1.07242
350,9/2/05 13:00,0.82122
351,9/2/05 14:00,0.61067
352,9/2/05 15:00,1.612572
353,9/2/05 16:00,2.834157
354,9/2/05 17:00,3.60324
355,9/2/05 18:00,3.71308
356,9/2/05 19:00,3.71801
357,9/2/05 20:00,3.76801
358,9/2/05 21:00,3.52818
